Site Name;Management Domain;ManageObject;Start Time;Ambient temperature;Daily irradiation;Device connection status;Irradiance;PV Temperature
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 23:45;23,9;4,456;Online;0;24,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 23:50;24;4,456;Online;0;24,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 23:55;24,1;4,456;Online;0;24,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:00;24,1;0;Online;0;24,2
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:05;24,2;0;Online;0;24,3
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:10;24,4;0;Online;0;24,4
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:15;24,4;0;Online;0;24,4
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:20;24,3;0;Online;0;24,4
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:25;24,1;0;Online;0;24,3
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:30;24,1;0;Online;0;24,3
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:35;23,9;0;Online;0;24,2
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:40;24;0;Online;0;24,2
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:45;24;0;Online;0;24,2
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:50;23,9;0;Online;0;24,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 00:55;23,9;0;Online;0;24,1
